Date,Store,Product_Category,Units_Sold,Price,Competitor_Price,Holiday_Flag,CPI,Campaign_Flag,Year,Month,Week,DayOfWeek,IsWeekend,Price_Diff,Discount_Flag
1/17/2023,Abuja,Smart Scales,34,129752,141652,0,104.63,0,2024,9,39,6,1,-11900,1
1/17/2023,Abuja,Supplements,5,38752,45234,1,103.54,0,2024,11,45,6,1,-6482,1
1/17/2023,Lagos,Supplements,10,80878,73542,0,103.66,1,2024,9,35,6,1,7336,0
1/18/2023,Port Harcourt,Smart Scales,32,66346,56896,1,107.05,0,2023,12,51,6,1,9450,0
1/19/2023,Lagos,Wellness Drinks,12,25340,10976,0,103.95,0,2023,7,26,6,1,14364,0
1/19/2023,Abuja,Wellness Drinks,13,94248,75572,0,105.38,0,2023,10,41,6,1,18676,0
1/20/2023,Port Harcourt,Yoga Mats,21,98686,91462,0,101.17,1,2023,2,5,6,1,7224,0
1/20/2023,Abuja,Yoga Mats,33,106708,111146,0,101.41,0,2024,3,13,6,1,-4438,1
1/21/2023,Lagos,Supplements,32,16506,20608,0,103.05,0,2023,7,30,6,1,-4102,1
1/21/2023,Abuja,Wellness Drinks,12,73668,79044,0,103.62,1,2023,7,29,6,1,-5376,1
1/21/2023,Lagos,Wellness Drinks,35,76244,79828,1,103.33,1,2023,11,46,6,1,-3584,1
1/21/2023,Port Harcourt,Yoga Mats,36,52416,45052,0,100.15,0,2023,5,20,6,1,7364,0
1/21/2023,Lagos,Yoga Mats,38,109494,118440,0,104.52,0,2023,9,35,6,1,-8946,1
1/21/2023,Port Harcourt,Yoga Mats,28,107352,109606,1,104.76,0,2024,12,49,6,1,-2254,1
1/22/2023,Port Harcourt,Wellness Drinks,13,135478,142786,0,102.39,1,2023,7,30,6,1,-7308,1
1/22/2023,Lagos,Wellness Drinks,12,62076,62020,0,103.16,1,2024,7,28,6,1,56,0
1/24/2023,Lagos,Supplements,22,39760,34412,0,102.77,0,2023,8,32,6,1,5348,0
1/25/2023,Port Harcourt,Supplements,2,38262,48958,0,102.57,0,2024,5,18,6,1,-10696,1
1/25/2023,Lagos,Smart Scales,29,16366,23478,0,102.01,0,2024,3,12,6,1,-7112,1
1/25/2023,Lagos,Fitness Gear,13,124502,124362,0,102.03,0,2023,8,34,6,1,140,0
1/26/2023,Lagos,Yoga Mats,35,30324,33684,1,105.67,0,2023,11,44,6,1,-3360,1
1/26/2023,Lagos,Supplements,13,134246,134386,0,103.02,0,2023,10,40,6,1,-140,1
1/26/2023,Abuja,Wellness Drinks,34,66640,66794,0,100.26,0,2024,4,17,6,1,-154,1
1/27/2023,Lagos,Smart Scales,19,118160,120456,0,101.78,0,2024,8,33,6,1,-2296,1
1/27/2023,Lagos,Supplements,9,112588,119812,0,101.62,1,2023,7,28,6,1,-7224,1
1/28/2023,Abuja,Wellness Drinks,31,18970,27972,0,99.91,0,2023,4,13,6,1,-9002,1
1/29/2023,Port Harcourt,Yoga Mats,33,18648,13734,0,99.47,1,2023,2,7,6,1,4914,0
1/29/2023,Abuja,Fitness Gear,27,39158,51422,0,103.82,0,2024,7,29,6,1,-12264,1
1/29/2023,Port Harcourt,Smart Scales,2,80066,68362,0,102.19,0,2023,7,28,6,1,11704,0
1/30/2023,Lagos,Supplements,15,65870,64204,0,100.12,1,2024,3,11,6,1,1666,0
1/30/2023,Abuja,Wellness Drinks,19,121170,101766,0,103.07,0,2024,3,11,6,1,19404,0
1/30/2023,Port Harcourt,Fitness Gear,31,63406,65324,0,103.63,0,2023,9,38,6,1,-1918,1
1/30/2023,Abuja,Wellness Drinks,16,63910,53214,1,105.56,0,2024,11,45,6,1,10696,0
1/31/2023,Lagos,Fitness Gear,15,78792,75082,0,101.39,0,2024,4,14,6,1,3710,0
2/1/2023,Abuja,Smart Scales,6,27930,29316,0,101.71,0,2023,2,6,6,1,-1386,1
2/1/2023,Abuja,Supplements,14,100870,102956,0,104.69,0,2024,8,32,6,1,-2086,1
2/1/2023,Lagos,Fitness Gear,27,118818,115990,0,103.82,1,2024,9,36,6,1,2828,0
2/1/2023,Port Harcourt,Supplements,38,108010,104300,0,98.78,0,2023,1,2,6,1,3710,0
2/2/2023,Abuja,Wellness Drinks,19,80010,72716,0,98.81,0,2024,1,2,6,1,7294,0
2/2/2023,Port Harcourt,Fitness Gear,37,47740,51170,1,105.58,1,2023,12,49,6,1,-3430,1
2/3/2023,Lagos,Wellness Drinks,4,115374,114604,0,103.82,0,2024,6,23,6,1,770,0
2/3/2023,Port Harcourt,Wellness Drinks,26,95200,104930,0,99.99,0,2024,4,15,6,1,-9730,1
2/4/2023,Lagos,Smart Scales,9,94906,107254,0,100.86,0,2023,1,2,6,1,-12348,1
2/5/2023,Lagos,Smart Scales,40,108416,110068,0,104.4,1,2023,10,40,6,1,-1652,1
2/6/2023,Lagos,Fitness Gear,15,25298,18298,0,102.41,0,2024,5,18,6,1,7000,0
2/6/2023,Lagos,Wellness Drinks,37,58030,49770,0,101.34,0,2024,3,13,6,1,8260,0
2/6/2023,Port Harcourt,Fitness Gear,4,32718,32536,0,103.19,0,2024,6,26,6,1,182,0
2/6/2023,Lagos,Wellness Drinks,26,72898,64638,0,104.35,0,2024,8,33,6,1,8260,0
2/6/2023,Port Harcourt,Wellness Drinks,18,92386,94024,0,99.99,0,2024,2,8,6,1,-1638,1
2/6/2023,Port Harcourt,Yoga Mats,35,99624,90818,0,104.68,1,2023,10,43,6,1,8806,0
2/6/2023,Abuja,Wellness Drinks,29,125272,122178,0,102.98,0,2024,5,20,6,1,3094,0
2/6/2023,Abuja,Yoga Mats,24,94822,97356,0,100.78,0,2023,1,1,6,1,-2534,1
2/6/2023,Lagos,Fitness Gear,4,53620,56182,0,101.66,0,2023,2,5,6,1,-2562,1
2/7/2023,Lagos,Smart Scales,21,119658,119546,1,105.78,0,2024,12,51,6,1,112,0
2/8/2023,Lagos,Smart Scales,39,132482,127722,0,98.84,0,2023,2,5,6,1,4760,0
2/9/2023,Lagos,Smart Scales,7,38346,52206,0,99.71,0,2024,1,3,6,1,-13860,1
2/11/2023,Lagos,Wellness Drinks,23,19180,17710,1,104.49,1,2023,11,47,6,1,1470,0
2/11/2023,Lagos,Wellness Drinks,40,26740,24738,1,105.23,0,2024,11,47,6,1,2002,0
2/12/2023,Abuja,Smart Scales,21,83734,74172,0,99.61,0,2023,3,12,6,1,9562,0
2/13/2023,Port Harcourt,Fitness Gear,1,54922,58744,0,99.53,0,2023,1,52,6,1,-3822,1
2/13/2023,Lagos,Wellness Drinks,25,97972,95270,0,104.15,1,2023,4,17,6,1,2702,0
2/13/2023,Port Harcourt,Supplements,31,72884,72604,0,103.29,0,2024,4,17,6,1,280,0
2/13/2023,Lagos,Smart Scales,38,36162,35098,0,104.75,1,2024,10,43,6,1,1064,0
2/15/2023,Port Harcourt,Wellness Drinks,5,26586,24080,0,105.2,0,2023,10,39,6,1,2506,0
2/15/2023,Abuja,Supplements,31,40922,49532,0,101.7,0,2024,2,5,6,1,-8610,1
2/16/2023,Lagos,Wellness Drinks,1,73500,72450,1,103.98,0,2023,12,48,6,1,1050,0
2/17/2023,Lagos,Wellness Drinks,30,64148,59248,1,104.33,1,2023,12,49,6,1,4900,0
2/17/2023,Port Harcourt,Yoga Mats,18,132160,126588,0,100.53,0,2023,5,21,6,1,5572,0
2/18/2023,Lagos,Yoga Mats,8,62510,59150,0,101.7,1,2023,2,6,6,1,3360,0
2/18/2023,Port Harcourt,Wellness Drinks,26,50904,57008,0,102.72,0,2024,5,21,6,1,-6104,1
2/18/2023,Port Harcourt,Wellness Drinks,40,118020,131390,0,99.96,1,2023,3,9,6,1,-13370,1
2/18/2023,Lagos,Smart Scales,15,28336,12978,0,102.15,0,2024,6,24,6,1,15358,0
2/19/2023,Lagos,Yoga Mats,19,39732,34356,0,103.5,1,2023,6,25,6,1,5376,0
2/20/2023,Abuja,Wellness Drinks,10,74984,67984,0,102.74,0,2023,5,21,6,1,7000,0
2/20/2023,Lagos,Supplements,24,35014,23786,0,100.2,0,2024,2,5,6,1,11228,0
2/20/2023,Lagos,Smart Scales,16,34188,41566,0,103.11,0,2024,5,21,6,1,-7378,1
2/21/2023,Lagos,Supplements,31,83356,85680,0,102.09,0,2023,9,36,6,1,-2324,1
2/21/2023,Port Harcourt,Smart Scales,16,111454,106624,0,103.39,1,2023,8,33,6,1,4830,0
2/21/2023,Lagos,Smart Scales,16,47432,49420,0,100.06,1,2023,5,19,6,1,-1988,1
2/21/2023,Abuja,Supplements,28,78722,76496,0,100.14,1,2023,1,52,6,1,2226,0
2/22/2023,Abuja,Smart Scales,20,136556,125342,0,100.89,0,2024,2,5,6,1,11214,0
2/22/2023,Lagos,Fitness Gear,35,59388,62692,0,105.6,1,2024,10,42,6,1,-3304,1
2/23/2023,Port Harcourt,Yoga Mats,9,45038,36960,0,102.52,1,2024,6,22,6,1,8078,0
2/23/2023,Port Harcourt,Wellness Drinks,40,130088,126014,0,103.08,0,2024,7,28,6,1,4074,0
2/24/2023,Abuja,Supplements,10,64876,63140,0,102.28,0,2023,5,21,6,1,1736,0
2/25/2023,Lagos,Smart Scales,18,76678,62440,0,102.3,0,2024,8,32,6,1,14238,0
2/26/2023,Lagos,Fitness Gear,15,46592,35644,0,101.31,0,2023,4,17,6,1,10948,0
2/26/2023,Lagos,Supplements,30,29680,23408,0,103.62,0,2023,9,38,6,1,6272,0
2/26/2023,Lagos,Yoga Mats,32,90930,93240,1,104.3,0,2024,11,46,6,1,-2310,1
2/26/2023,Lagos,Smart Scales,40,19628,12208,1,103.89,0,2023,12,48,6,1,7420,0
2/27/2023,Port Harcourt,Wellness Drinks,27,38290,33068,0,103.6,0,2023,9,36,6,1,5222,0
2/27/2023,Abuja,Yoga Mats,27,123144,135268,0,102.81,0,2023,10,40,6,1,-12124,1
2/28/2023,Lagos,Supplements,19,112098,106988,1,106.22,0,2023,12,50,6,1,5110,0
3/2/2023,Abuja,Yoga Mats,10,27776,36736,0,104.1,0,2024,10,42,6,1,-8960,1
3/2/2023,Abuja,Supplements,6,28462,17010,0,103.36,1,2024,5,20,6,1,11452,0
3/2/2023,Lagos,Smart Scales,24,74662,67088,0,102.04,0,2024,4,14,6,1,7574,0
3/3/2023,Lagos,Smart Scales,9,137242,135478,0,104.77,1,2024,8,34,6,1,1764,0
3/4/2023,Port Harcourt,Yoga Mats,27,23030,20146,0,105.05,1,2023,9,38,6,1,2884,0
3/4/2023,Abuja,Supplements,7,38472,25830,0,102.68,0,2023,9,38,6,1,12642,0
3/4/2023,Abuja,Yoga Mats,6,102956,108318,0,102.62,0,2024,6,26,6,1,-5362,1
3/5/2023,Abuja,Fitness Gear,33,121702,131628,0,99.8,1,2023,2,6,6,1,-9926,1
3/5/2023,Lagos,Yoga Mats,21,15764,24738,0,102.26,1,2024,6,24,6,1,-8974,1
3/6/2023,Lagos,Smart Scales,38,55356,69118,0,101.15,0,2024,4,16,6,1,-13762,1
3/7/2023,Abuja,Supplements,17,81676,85834,0,100.95,0,2023,4,14,6,1,-4158,1
3/7/2023,Port Harcourt,Yoga Mats,31,127876,129808,0,102.07,0,2023,4,17,6,1,-1932,1
3/8/2023,Port Harcourt,Supplements,37,123102,130312,0,104.03,0,2023,10,41,6,1,-7210,1
3/8/2023,Lagos,Smart Scales,11,53648,57190,0,102.48,1,2023,6,25,6,1,-3542,1
3/11/2023,Abuja,Wellness Drinks,28,51086,56560,0,102.34,0,2023,4,17,6,1,-5474,1
3/11/2023,Abuja,Fitness Gear,5,48440,55342,0,104.41,0,2024,8,34,6,1,-6902,1
3/11/2023,Port Harcourt,Supplements,12,69398,66318,1,105.65,0,2023,12,50,6,1,3080,0
3/14/2023,Port Harcourt,Supplements,3,23492,35714,0,99.44,0,2023,4,16,6,1,-12222,1
3/14/2023,Abuja,Wellness Drinks,38,95662,94472,0,100.84,0,2024,1,4,6,1,1190,0
3/15/2023,Abuja,Wellness Drinks,2,65282,66766,0,104.84,0,2024,10,42,6,1,-1484,1
3/15/2023,Port Harcourt,Fitness Gear,26,33544,27496,0,104.42,1,2024,8,34,6,1,6048,0
3/16/2023,Lagos,Fitness Gear,2,20902,24724,0,105.83,1,2023,10,43,6,1,-3822,1
3/16/2023,Port Harcourt,Smart Scales,12,41524,50064,0,104.69,0,2024,9,38,6,1,-8540,1
3/16/2023,Lagos,Yoga Mats,40,115934,129234,1,105.55,0,2023,12,48,6,1,-13300,1
3/16/2023,Lagos,Wellness Drinks,2,120148,121478,0,99.75,0,2024,1,3,6,1,-1330,1
3/17/2023,Port Harcourt,Supplements,16,78400,82740,1,104.82,0,2024,11,47,6,1,-4340,1
3/17/2023,Port Harcourt,Fitness Gear,30,94934,110040,0,101.21,0,2024,7,27,6,1,-15106,1
3/18/2023,Port Harcourt,Smart Scales,36,95326,96670,0,105.24,0,2023,10,39,6,1,-1344,1
3/18/2023,Abuja,Supplements,4,26516,21672,1,106.29,1,2023,11,46,6,1,4844,0
3/18/2023,Abuja,Supplements,11,86408,96950,0,102.34,0,2024,5,18,6,1,-10542,1
3/20/2023,Lagos,Supplements,24,26446,31920,0,104.42,0,2023,8,31,6,1,-5474,1
3/20/2023,Port Harcourt,Fitness Gear,18,35084,34706,0,102.2,0,2023,5,19,6,1,378,0
3/20/2023,Abuja,Wellness Drinks,27,64946,68670,0,104.49,0,2024,10,41,6,1,-3724,1
3/21/2023,Lagos,Smart Scales,37,129850,139160,0,102.61,0,2023,8,33,6,1,-9310,1
3/21/2023,Abuja,Wellness Drinks,2,90048,84098,0,105,1,2023,10,42,6,1,5950,0
3/21/2023,Abuja,Fitness Gear,15,29260,29120,0,101.62,0,2023,2,8,6,1,140,0
3/23/2023,Lagos,Fitness Gear,11,33810,29862,1,103.78,1,2023,11,46,6,1,3948,0
3/23/2023,Lagos,Smart Scales,27,50652,56812,1,106.12,0,2023,12,52,6,1,-6160,1
3/23/2023,Abuja,Yoga Mats,23,125734,121730,0,101.97,1,2023,3,9,6,1,4004,0
3/23/2023,Lagos,Smart Scales,35,60256,58520,0,103.52,0,2024,10,41,6,1,1736,0
3/23/2023,Port Harcourt,Fitness Gear,30,75012,73038,0,100.45,0,2023,2,5,6,1,1974,0
3/24/2023,Port Harcourt,Smart Scales,24,66220,58310,0,102.71,0,2024,9,35,6,1,7910,0
3/25/2023,Abuja,Wellness Drinks,19,136402,126322,0,101.3,1,2024,4,14,6,1,10080,0
3/26/2023,Lagos,Smart Scales,29,121394,127456,1,106.47,1,2023,11,45,6,1,-6062,1
3/26/2023,Port Harcourt,Smart Scales,13,45360,40530,0,102.4,0,2023,7,27,6,1,4830,0
3/26/2023,Port Harcourt,Wellness Drinks,23,96138,96446,1,104.56,1,2024,11,47,6,1,-308,1
3/26/2023,Port Harcourt,Smart Scales,12,133266,133084,0,102.71,0,2024,8,33,6,1,182,0
3/28/2023,Port Harcourt,Supplements,29,102704,107982,0,101.72,0,2024,3,10,6,1,-5278,1
3/29/2023,Port Harcourt,Supplements,6,56140,64624,0,103.77,0,2024,10,43,6,1,-8484,1
3/29/2023,Port Harcourt,Smart Scales,23,78190,78120,0,102.79,0,2024,3,9,6,1,70,0
3/29/2023,Port Harcourt,Smart Scales,31,58828,62202,0,102.17,0,2024,4,14,6,1,-3374,1
3/30/2023,Abuja,Smart Scales,21,107212,101178,0,104.08,0,2023,9,37,6,1,6034,0
3/30/2023,Lagos,Fitness Gear,24,61306,59178,0,101.2,0,2023,5,18,6,1,2128,0
3/30/2023,Lagos,Fitness Gear,8,27734,30842,0,100.22,0,2023,2,6,6,1,-3108,1
3/31/2023,Port Harcourt,Wellness Drinks,9,70784,72856,0,100.39,1,2024,2,5,6,1,-2072,1
3/31/2023,Port Harcourt,Fitness Gear,22,60228,64036,0,101.86,0,2024,4,17,6,1,-3808,1
4/1/2023,Abuja,Yoga Mats,4,125356,124152,1,104.06,1,2023,11,45,6,1,1204,0
4/3/2023,Lagos,Supplements,13,118342,123802,0,104.77,0,2023,10,43,6,1,-5460,1
4/3/2023,Port Harcourt,Fitness Gear,34,86548,90412,1,105.06,0,2024,11,45,6,1,-3864,1
4/3/2023,Lagos,Supplements,3,132818,136458,0,98.98,0,2023,1,2,6,1,-3640,1
4/3/2023,Port Harcourt,Yoga Mats,37,100870,96810,0,103.63,0,2024,8,31,6,1,4060,0
4/4/2023,Abuja,Fitness Gear,28,48230,43190,0,103.24,0,2023,8,33,6,1,5040,0
4/6/2023,Lagos,Wellness Drinks,26,131278,134498,0,105.96,0,2023,9,36,6,1,-3220,1
4/6/2023,Port Harcourt,Supplements,34,32074,32732,0,100.92,0,2024,1,4,6,1,-658,1
4/6/2023,Abuja,Supplements,15,93940,92526,0,102.63,0,2023,6,24,6,1,1414,0
4/7/2023,Lagos,Fitness Gear,8,121716,121338,0,101.42,0,2023,3,10,6,1,378,0
4/7/2023,Lagos,Supplements,35,90678,93646,1,105.4,1,2023,12,48,6,1,-2968,1
4/7/2023,Port Harcourt,Fitness Gear,24,139594,140728,1,104.72,0,2024,11,46,6,1,-1134,1
4/9/2023,Port Harcourt,Smart Scales,37,38220,29834,0,101.83,1,2024,5,20,6,1,8386,0
4/9/2023,Abuja,Supplements,4,85218,76552,0,100.66,0,2024,1,3,6,1,8666,0
4/9/2023,Abuja,Smart Scales,12,105910,100856,0,98.8,0,2024,1,1,6,1,5054,0
4/11/2023,Abuja,Fitness Gear,19,89110,87822,0,100.28,0,2023,3,12,6,1,1288,0
4/11/2023,Lagos,Smart Scales,15,96838,93730,0,98.76,0,2023,1,52,6,1,3108,0
4/11/2023,Port Harcourt,Wellness Drinks,30,107716,90412,0,102.28,1,2023,4,14,6,1,17304,0
4/11/2023,Port Harcourt,Fitness Gear,37,88228,95802,0,103.13,0,2024,7,29,6,1,-7574,1
4/13/2023,Lagos,Wellness Drinks,12,22120,24108,0,103.2,1,2024,4,15,6,1,-1988,1
4/13/2023,Port Harcourt,Smart Scales,19,98196,101150,0,100.82,0,2023,5,21,6,1,-2954,1
4/13/2023,Lagos,Supplements,34,31178,30380,0,104.49,0,2023,10,42,6,1,798,0
4/14/2023,Abuja,Wellness Drinks,7,45570,54656,0,101.71,0,2024,6,25,6,1,-9086,1
4/14/2023,Port Harcourt,Smart Scales,28,100716,98168,0,102.03,0,2023,1,2,6,1,2548,0
4/14/2023,Port Harcourt,Supplements,28,81242,82180,0,103.82,0,2024,9,37,6,1,-938,1
4/15/2023,Lagos,Supplements,29,22092,34524,0,101.81,0,2023,4,16,6,1,-12432,1
4/15/2023,Port Harcourt,Wellness Drinks,37,136388,142632,0,104.14,0,2024,10,41,6,1,-6244,1
4/16/2023,Lagos,Supplements,20,112098,119714,1,105.16,0,2024,12,51,6,1,-7616,1
4/16/2023,Port Harcourt,Fitness Gear,11,83076,88914,0,101.1,0,2023,2,6,6,1,-5838,1
4/16/2023,Abuja,Smart Scales,39,88172,86786,0,101.14,0,2023,3,9,6,1,1386,0
4/16/2023,Port Harcourt,Fitness Gear,23,63070,69188,0,104.97,0,2024,10,41,6,1,-6118,1
4/16/2023,Abuja,Supplements,20,126084,130396,0,103.8,0,2024,8,33,6,1,-4312,1
4/17/2023,Abuja,Supplements,20,127176,127260,0,100.53,1,2024,2,8,6,1,-84,1
4/17/2023,Lagos,Fitness Gear,11,79128,79618,0,100.1,0,2024,1,3,6,1,-490,1
4/17/2023,Lagos,Fitness Gear,2,99596,95536,0,104.48,0,2023,10,42,6,1,4060,0
4/17/2023,Abuja,Smart Scales,13,36400,37338,0,104.17,0,2023,10,39,6,1,-938,1
4/18/2023,Port Harcourt,Supplements,13,109326,116480,0,103.8,1,2023,8,31,6,1,-7154,1
4/19/2023,Lagos,Yoga Mats,15,20720,10080,0,99.83,0,2023,2,5,6,1,10640,0
4/19/2023,Abuja,Fitness Gear,31,53382,55692,0,101.79,0,2023,7,28,6,1,-2310,1
4/20/2023,Lagos,Wellness Drinks,23,80766,77546,0,103.1,0,2023,6,24,6,1,3220,0
4/20/2023,Lagos,Supplements,22,37800,35686,0,102.69,0,2023,6,25,6,1,2114,0
4/20/2023,Lagos,Yoga Mats,16,30548,23058,0,98.46,0,2023,1,1,6,1,7490,0
4/21/2023,Abuja,Wellness Drinks,29,50834,59388,0,100.36,0,2023,4,15,6,1,-8554,1
4/21/2023,Lagos,Smart Scales,20,124516,119798,0,100.58,0,2024,4,17,6,1,4718,0
4/21/2023,Abuja,Smart Scales,28,101556,98224,0,101.38,1,2024,5,19,6,1,3332,0
4/21/2023,Port Harcourt,Fitness Gear,27,97342,100548,0,103.63,0,2023,7,26,6,1,-3206,1
4/21/2023,Abuja,Yoga Mats,29,84658,76230,0,102.94,1,2024,4,15,6,1,8428,0
4/23/2023,Lagos,Supplements,5,76216,71974,1,103.14,1,2023,12,49,6,1,4242,0
4/23/2023,Abuja,Yoga Mats,38,42602,56854,0,105.25,0,2023,10,42,6,1,-14252,1
4/24/2023,Lagos,Fitness Gear,38,21742,21602,0,101.87,0,2024,3,12,6,1,140,0
4/24/2023,Port Harcourt,Fitness Gear,2,36778,34048,1,105.6,0,2023,12,51,6,1,2730,0
4/25/2023,Port Harcourt,Smart Scales,20,55846,56098,0,99.28,0,2024,1,4,6,1,-252,1
4/25/2023,Abuja,Supplements,13,59360,59640,1,105.19,0,2023,12,52,6,1,-280,1
4/26/2023,Port Harcourt,Supplements,26,19026,15848,0,104.02,0,2023,8,34,6,1,3178,0
4/26/2023,Lagos,Yoga Mats,35,59570,70882,0,103.49,0,2023,5,20,6,1,-11312,1
4/27/2023,Lagos,Yoga Mats,8,90566,87752,0,99.53,1,2023,1,2,6,1,2814,0
4/27/2023,Port Harcourt,Fitness Gear,28,105546,107170,0,100.91,0,2024,2,7,6,1,-1624,1
4/27/2023,Port Harcourt,Supplements,15,102536,112280,0,99.72,0,2023,1,3,6,1,-9744,1
4/28/2023,Abuja,Yoga Mats,8,128044,119056,0,106.16,0,2024,10,41,6,1,8988,0
4/29/2023,Port Harcourt,Supplements,11,68922,73192,0,104.14,0,2024,6,25,6,1,-4270,1
4/29/2023,Abuja,Fitness Gear,29,121856,123900,0,100.77,0,2024,1,4,6,1,-2044,1
4/29/2023,Port Harcourt,Fitness Gear,5,117194,105672,0,104.47,1,2024,10,40,6,1,11522,0
4/29/2023,Lagos,Wellness Drinks,7,70434,70602,0,99.04,0,2023,3,10,6,1,-168,1
4/29/2023,Port Harcourt,Wellness Drinks,18,80626,81368,1,104.7,0,2024,12,48,6,1,-742,1
4/29/2023,Port Harcourt,Smart Scales,28,29386,35462,0,102.5,1,2023,4,17,6,1,-6076,1
4/30/2023,Abuja,Wellness Drinks,12,40740,40502,1,104.72,1,2024,11,46,6,1,238,0
4/30/2023,Lagos,Smart Scales,12,57344,36820,0,104.97,1,2024,7,30,6,1,20524,0
4/30/2023,Lagos,Yoga Mats,36,107058,87710,0,100.27,1,2024,4,15,6,1,19348,0
5/1/2023,Lagos,Yoga Mats,29,79240,72632,0,104.16,0,2023,8,31,6,1,6608,0
5/1/2023,Lagos,Yoga Mats,11,99988,101528,0,100.28,0,2024,3,12,6,1,-1540,1
5/4/2023,Port Harcourt,Fitness Gear,6,86072,91784,0,104.32,1,2024,8,31,6,1,-5712,1
5/4/2023,Port Harcourt,Yoga Mats,21,90762,104706,1,106.19,0,2024,12,50,6,1,-13944,1
5/5/2023,Port Harcourt,Fitness Gear,10,136766,138614,0,100.72,1,2023,5,20,6,1,-1848,1
5/5/2023,Lagos,Fitness Gear,32,120148,110502,0,99.56,0,2024,4,15,6,1,9646,0
5/5/2023,Abuja,Smart Scales,33,23940,22078,0,102.34,0,2024,7,30,6,1,1862,0
5/5/2023,Abuja,Smart Scales,17,109564,109410,1,104.63,0,2024,12,51,6,1,154,0
5/6/2023,Port Harcourt,Smart Scales,3,139314,139482,0,103.71,0,2023,9,36,6,1,-168,1
5/6/2023,Port Harcourt,Yoga Mats,18,49448,61012,1,106.33,0,2023,12,49,6,1,-11564,1
5/7/2023,Lagos,Yoga Mats,10,87290,84238,0,104.81,0,2024,9,38,6,1,3052,0
5/8/2023,Lagos,Supplements,39,51926,50610,1,105.43,0,2024,11,46,6,1,1316,0
5/8/2023,Lagos,Fitness Gear,8,111706,98994,0,103.71,1,2024,8,31,6,1,12712,0
5/8/2023,Abuja,Supplements,34,138334,129332,0,103.19,0,2023,8,33,6,1,9002,0
5/8/2023,Port Harcourt,Wellness Drinks,37,82222,79338,0,103.38,0,2024,3,13,6,1,2884,0
5/9/2023,Lagos,Fitness Gear,33,24584,24080,0,105.49,0,2023,10,39,6,1,504,0
5/9/2023,Abuja,Yoga Mats,10,14980,5278,0,100.39,0,2023,2,5,6,1,9702,0
5/9/2023,Lagos,Wellness Drinks,40,100310,94066,0,102.44,0,2024,5,18,6,1,6244,0
5/9/2023,Lagos,Yoga Mats,18,101528,102410,0,102.32,0,2023,6,24,6,1,-882,1
5/11/2023,Lagos,Smart Scales,25,29260,29288,0,101.28,0,2023,4,14,6,1,-28,1
5/12/2023,Lagos,Supplements,36,49490,42168,0,103,1,2024,9,37,6,1,7322,0
5/13/2023,Lagos,Supplements,2,27440,42826,0,101.2,1,2024,1,4,6,1,-15386,1
